Date,Bitcoin,Ethereum,Fossil_Fuel
1/13/2023,19909.57422,1451.614868,79.86000061
1/17/2023,21161.51953,1567.846069,80.18000031
1/18/2023,20688.78125,1515.506958,79.48000336
1/19/2023,21086.79297,1552.556519,80.33000183
1/20/2023,22676.55273,1659.75415,81.30999756
1/23/2023,22934.43164,1628.251099,81.62000275
1/24/2023,22636.46875,1556.604248,80.12999725
1/25/2023,23117.85938,1611.71106,80.15000153
1/26/2023,23032.77734,1603.105957,81.01000214
1/27/2023,23078.72852,1598.156494,79.68000031
1/30/2023,22840.13867,1567.326538,77.90000153
1/31/2023,23139.2832,1586.5354,78.87000275
2/1/2023,23723.76953,1641.792725,76.41000366
2/2/2023,23471.87109,1643.241577,75.87999725
2/3/2023,23449.32227,1664.745605,73.38999939
2/6/2023,22760.10938,1616.24707,74.11000061
2/7/2023,23264.29102,1672.00354,77.13999939
2/8/2023,22939.39844,1650.716797,78.47000122
2/9/2023,21819.03906,1546.438232,78.05999756
2/10/2023,21651.18359,1514.869141,79.72000122
2/13/2023,21808.10156,1507.165894,80.13999939
2/14/2023,22220.80469,1556.875122,79.05999756
2/15/2023,24307.8418,1673.745972,78.58999634
2/16/2023,23623.47461,1640.067627,78.48999786
2/17/2023,24565.60156,1694.783325,76.33999634
2/21/2023,24436.35352,1658.036377,76.16000366
2/22/2023,24188.84375,1643.231689,73.94999695
2/23/2023,23947.49219,1651.073853,75.38999939
2/24/2023,23198.12695,1608.373169,76.31999969
2/27/2023,23522.87109,1634.326416,75.68000031
2/28/2023,23147.35352,1605.895142,77.05000305
3/1/2023,23646.55078,1663.433716,77.69000244
3/2/2023,23475.4668,1647.319336,78.16000366
3/3/2023,22362.67969,1569.167603,79.68000031
3/6/2023,22429.75781,1567.398682,80.45999908
3/7/2023,22219.76953,1561.933105,77.58000183
3/8/2023,21718.08008,1534.088257,76.66000366
3/9/2023,20363.02148,1438.660767,75.72000122
3/10/2023,20187.24414,1429.158081,76.68000031
3/13/2023,24197.5332,1680.30896,74.80000305
3/14/2023,24746.07422,1703.50708,71.33000183
3/15/2023,24375.96094,1656.180542,67.61000061
3/16/2023,25052.78906,1677.215454,68.34999847
3/17/2023,27423.92969,1792.485107,66.73999786
3/20/2023,27767.23633,1735.321289,67.63999939
3/21/2023,28175.81641,1806.760742,69.33000183
3/22/2023,27307.4375,1737.717041,70.90000153
3/23/2023,28333.97266,1816.405151,69.95999908
3/24/2023,27493.28516,1752.0448,69.26000214
3/27/2023,27139.88867,1715.460815,72.80999756
3/28/2023,27268.13086,1772.785645,73.19999695
3/29/2023,28348.44141,1793.001831,72.97000122
3/30/2023,28033.5625,1792.737183,74.37000275
3/31/2023,28478.48438,1822.022095,75.66999817
4/3/2023,27790.2207,1810.297119,80.41999817
4/4/2023,28168.08984,1871.005127,80.70999908
4/5/2023,28177.98438,1909.114014,80.61000061
4/6/2023,28044.14063,1872.922607,80.69999695
4/10/2023,29652.98047,1911.20752,79.73999786
4/11/2023,30235.05859,1892.189697,81.52999878
4/12/2023,30139.05273,1920.682129,83.26000214
4/13/2023,30399.06641,2012.634644,82.16000366
4/14/2023,30485.69922,2101.635498,82.51999664
4/17/2023,29445.04492,2076.24292,80.83000183
4/18/2023,30397.55273,2104.537354,80.86000061
4/19/2023,28822.67969,1936.403442,79.16000366
4/20/2023,28245.98828,1943.097656,77.29000092
4/21/2023,27276.91016,1849.999878,77.87000275
4/24/2023,27525.33984,1842.757446,78.76000214
4/25/2023,28307.59766,1866.753662,77.06999969
4/26/2023,28422.70117,1866.564209,74.30000305
4/27/2023,29473.78711,1908.786377,74.76000214
4/28/2023,29340.26172,1892.512817,76.77999878
5/1/2023,28091.56836,1831.954834,75.66000366
5/2/2023,28680.53711,1870.789307,71.66000366
5/3/2023,29006.30859,1904.651855,68.59999847
5/4/2023,28847.71094,1877.704102,68.55999756
5/5/2023,29534.38477,1995.060913,71.33999634
5/8/2023,27694.27344,1849.042725,73.16000366
5/9/2023,27658.77539,1848.603149,73.70999908
5/10/2023,27621.75586,1842.401489,72.55999756
5/11/2023,27000.78906,1796.490601,70.87000275
5/12/2023,26804.99023,1808.019775,70.04000092
5/15/2023,27192.69336,1817.549927,71.11000061
5/16/2023,27036.65039,1824.12146,70.86000061
5/17/2023,27398.80273,1821.859619,72.83000183
5/18/2023,26832.20898,1801.728516,71.86000061
5/19/2023,26890.12891,1812.589478,71.55000305
5/22/2023,26851.27734,1817.53479,71.98999786
5/23/2023,27225.72656,1854.380615,72.91000366
5/24/2023,26334.81836,1800.099976,74.33999634
5/25/2023,26476.20703,1805.953735,71.83000183
5/26/2023,26719.29102,1828.689697,72.66999817
5/30/2023,27702.34961,1901.026611,69.45999908
5/31/2023,27219.6582,1874.130493,68.08999634
6/1/2023,26819.97266,1862.201416,70.09999847
6/2/2023,27249.58984,1907.256592,71.73999786
6/5/2023,25760.09766,1811.828369,72.15000153
6/6/2023,27238.7832,1884.494873,71.73999786
6/7/2023,26345.99805,1832.395996,72.52999878
6/8/2023,26508.2168,1846.30188,71.29000092
6/9/2023,26480.375,1840.22522,70.16999817
6/12/2023,25902.5,1742.528687,67.12000275
6/13/2023,25918.72852,1739.037598,69.41999817
6/14/2023,25124.67578,1650.519287,68.26999664
6/15/2023,25576.39453,1665.519775,70.62000275
6/16/2023,26327.46289,1716.668823,71.77999878
6/20/2023,28327.48828,1792.119995,70.5
6/21/2023,30027.29688,1891.007202,72.52999878
6/22/2023,29912.28125,1872.942993,69.51000214
6/23/2023,30695.46875,1892.862061,69.16000366
6/26/2023,30271.13086,1859.432861,69.37000275
6/27/2023,30688.16406,1889.703369,67.69999695
6/28/2023,30086.24609,1827.971191,69.55999756
6/29/2023,30445.35156,1852.227295,69.86000061
6/30/2023,30477.25195,1933.188965,70.63999939
7/3/2023,31156.43945,1955.38916,69.79000092
7/5/2023,30514.16602,1910.588013,71.79000092
7/6/2023,29909.33789,1848.636475,71.80000305
7/7/2023,30342.26563,1870.602539,73.86000061
7/10/2023,30414.4707,1880.556396,72.98999786
7/11/2023,30620.95117,1878.33606,74.83000183
7/12/2023,30391.64648,1872.11377,75.75
7/13/2023,31476.04883,2006.511475,76.88999939
7/14/2023,30334.06836,1939.347046,75.41999817
7/17/2023,30145.88867,1911.646118,74.15000153
7/18/2023,29856.5625,1897.599243,75.75
7/19/2023,29913.92383,1889.007935,75.34999847
7/20/2023,29792.01563,1890.969116,75.62999725
7/21/2023,29908.74414,1892.080078,77.06999969
7/24/2023,29176.91602,1850.002075,78.73999786
7/25/2023,29227.39063,1857.741943,79.62999725
7/26/2023,29354.97266,1872.159912,78.77999878
7/27/2023,29210.68945,1860.357178,80.08999634
7/28/2023,29319.24609,1874.744873,80.58000183
7/31/2023,29230.11133,1856.162354,81.80000305
8/1/2023,29675.73242,1871.792114,81.37000275
8/2/2023,29151.95898,1839.089722,79.48999786
